,Facility Name,Site Address,Facility Type,Last Inspection Date,url,category
23,Baja Café & Riverside Ice Cream,35 Main st W  Ridgetown ON N0P 2C0,Food Take Out,10-Aug-2023,location.href = '/Facility/Details/cf488efb-6c94-4919-b513-fff0159ec6dc' ,Food Premisis
24,Barburrito,1314 Dufferin Avenue  Wallaceburg Ontario N8A 2W5,Restaurant,31-Aug-2023,location.href = '/Facility/Details/d58572eb-345b-4d3a-961e-4772f05e8545' ,Food Premisis
0,BarBurrito,D3-515 Grand Avenue West  Chatham ON N7L 1C5,Restaurant,05-Jan-2024,location.href = '/Facility/Details/3921ea5e-9584-49ea-a687-71d9220f23d2' ,Food Premisis
1,BarBurrito,71 Marlborough Street  Blenheim ON N0P 1A0,Restaurant,29-Jan-2024,location.href = '/Facility/Details/7ee9eee6-58a8-40f1-8903-76bd998031bf' ,Food Premisis
2,Barnetti's Arcade,6-425 St. Clair Street  Chatham ON N7L 3K4,Restaurant,16-Aug-2023,location.href = '/Facility/Details/a53aff4f-a43b-4fed-a9da-eef07171588d' ,Food Premisis
3,Barr Bakery,"49 Hiram Street  Wallaceburg, NA8 2R5 Ontario",Bakery,18-Dec-2023,location.href = '/Facility/Details/aec07576-85d8-43f7-bdb1-b450713cbd9b' ,Food Premisis
4,Bayside Brew Pub,970 Ross Lane  Erieau ON N0P 1N0,Restaurant,08-Dec-2023,location.href = '/Facility/Details/5482a9d6-bb04-43dc-8c65-d3e636cb9c3e' ,Food Premisis
5,Bayside Brewing Co.,970 Ross Lane  Erieau ON N0P 1N0,Bottling Plant,13-Dec-2023,location.href = '/Facility/Details/bdb34762-5bf2-4976-ad96-ea0b6dab4409' ,Food Premisis
6,Bayside Brewing Co. - Charing Cross,20988 Charing Cross Rd  Chatham-Kent ON N0P 1G0,Cocktail Bar/Beverage Room,,location.href = '/Facility/Details/0c760d7d-6635-45cc-bd52-d075df64a647' ,Food Premisis
7,Bayview Market,11496 Wildwood Line  Morpeth ON N0P 1X0,Food Take Out,07-Sep-2023,location.href = '/Facility/Details/45e9d059-3dff-4d23-a687-3017dfa4f2ed' ,Food Premisis
8,Bayview Market - Hot Dog Cart,11496 Wildwood Line Morpeth  ON N0P 1X0,Mobile Food Premises,01-Jun-2021,location.href = '/Facility/Details/4cdb74b1-410c-4123-b54d-1484fe8cbff7' ,Food Premisis
9,Becker's,5 Grand Ave W  Chathm ON N7L 1B4,Food Store/Food Sales (Convenience/Variety),01-Aug-2023,location.href = '/Facility/Details/c8b63038-d284-420b-a847-c1148d49d21c' ,Food Premisis
10,Beef Meatz Bun,304 Arnold St  Wallaceburg ON N8P 3P5,Mobile Food Premises,21-Apr-2023,location.href = '/Facility/Details/ec2aabce-fcc9-469c-a0f2-788ed26ef641' ,Food Premisis
11,Bent Tin,83 London Rd  Thamesville N0P 2K0,Bakery,21-Nov-2023,location.href = '/Facility/Details/8cc1401a-5ec8-4624-a8ca-4047195a3aac' ,Food Premisis
12,Bento Sushi - Sobeys Blenheim,20210 Communication Road  Blenheim ON N0P 1A0,Food Take Out,29-Nov-2023,location.href = '/Facility/Details/98fb6853-a9b8-4ec6-b7e2-c09c92263655' ,Food Premisis
13,Bento Sushi - Sobeys Chatham,215 Park Avenue West  Chatham ON N7M 1W3,Food Take Out,15-Dec-2023,location.href = '/Facility/Details/9f58ed74-9df6-4846-b1c6-ffb9787c4c12' ,Food Premisis
14,Bethel Pentecostal Church,35 McNaughton Ave  Wallaceburg ON N8A 1R7,Banquet Facility/Public Hall,24-Nov-2023,location.href = '/Facility/Details/e496554c-c920-41ff-b7c3-afaa4fd5d9fd' ,Food Premisis
15,Betty Mart,8629 Middle Line  Charing Cross ON N0P 1G0,Food Store/Food Sales (Convenience/Variety),14-Feb-2024,location.href = '/Facility/Details/f02cdc2c-412b-4a52-a267-d66ec80193a0' ,Food Premisis
16,Big Chief Drive In,5001 Dufferin Ave  Wallaceburg ON N8A 4M9,Restaurant,27-Sep-2023,location.href = '/Facility/Details/6e651270-5785-48ee-828d-d7c6e762825c' ,Food Premisis
17,Big Ricky's Little Bake Shoppe,323 Queen Street  Chatham ON N7M 2H7,Bakery,27-Feb-2024,location.href = '/Facility/Details/de26c216-a761-4fd3-b0ab-364a82af21a2' ,Food Premisis
18,Bill's Fruit Market,930 Richmond Street  Chatham ON N7M 5J5,Food Depot/wholesale,30-Nov-2023,location.href = '/Facility/Details/b07e2b22-3e03-471f-988c-df7406f4a5a2' ,Food Premisis
19,Bill's International Pizza,1044 Dufferin Ave  Wallaceburg ON N8A 2V8,Food Take Out,27-Nov-2023,location.href = '/Facility/Details/20fd5d8f-1b04-42ed-917a-7428fdc30f4e' ,Food Premisis
20,Billy Prodenchuck Produce,960 Richmond Street  Chatham ON N7M 5K6,Food Depot/wholesale,04-Mar-2024,location.href = '/Facility/Details/f01e6190-4aaf-47f9-a999-b92b9b089c3e' ,Food Premisis
21,Blenheim & Community Senior Citizens Group,55 Jane Street  Blenheim Ontario N0P 1A0,Banquet Facility/Public Hall,25-Mar-2024,location.href = '/Facility/Details/1558a310-695b-49b6-9b69-00a4e3a957df' ,Food Premisis
22,Blenheim Community Village - Food,10 Mary St  Blenheim ON N0P 1A0,LTC Nursing Home - Food,23-Nov-2023,location.href = '/Facility/Details/90d7b6c7-2925-41e1-9c0d-f777eb21da2c' ,Food Premisis
23,Blenheim District High School,163 Chatham Street S  Blenheim ON N0P 1A0,School Nourishment Program,21-Mar-2019,location.href = '/Facility/Details/8066fed6-dffd-41cf-bb6b-43ca6a4fe42e' ,Food Premisis
24,Blenheim Memorial Arena,199 King St  Blenheim ON N0P 1A0,Food Take Out,28-Feb-2024,location.href = '/Facility/Details/59f89d18-5af9-4bb2-8947-d16aca5fb900' ,Food Premisis
0,Blenheim Variety,40 Talbot St E  Blenheim ON N0P 1A0,Food Store/Food Sales (Convenience/Variety),27-Mar-2024,location.href = '/Facility/Details/047297ec-4784-4849-b5ae-39e45ce7ace3' ,Food Premisis
1,Blenheim Youth Centre,78 Marlborough Street S  Blenheim ON N0P 1A0,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,20-Mar-2024,location.href = '/Facility/Details/55a44f39-eb13-409a-bb39-bf1c5a030b57' ,Food Premisis
2,Bob' n Buoys,18 Main St  Mitchell's Bay ON N0P 1L0,Restaurant,30-Jun-2023,location.href = '/Facility/Details/56094bb4-3f9a-4482-b2fd-0ae0156856c7' ,Food Premisis
3,Boothill General Store,228 Main St  Bothwell ON N0P 1C0,Prepackaged/Non-Hazardous Food Sales,30-Nov-2023,location.href = '/Facility/Details/73c472ea-c32e-4a5f-9ae4-c1fde4c1919a' ,Food Premisis
4,Boston Pizza,780 St Clair St  Chatham ON N7M 5J7,Restaurant,22-Jan-2024,location.href = '/Facility/Details/de9285ca-d258-4c76-834a-188f86504a56' ,Food Premisis
5,Bothwell Area Sports Centre,860 Main St N  Bothwell ON N0P 1C0,Food Take Out,19-Jun-2019,location.href = '/Facility/Details/f3afd90f-98f3-4d66-bfb8-cd82791feef2' ,Food Premisis
6,Bothwell Dairy Case,271 Main Street N  Bothwell ON N0P 1C0,Food Store/Food Sales (Convenience/Variety),06-Jul-2023,location.href = '/Facility/Details/101ae72f-79b7-43f1-9616-be738146c4fd' ,Food Premisis
7,Bothwell Diner,260 Main St  Bothwell ON N0P 1C0,Restaurant,30-Nov-2023,location.href = '/Facility/Details/b5505fda-172c-4986-9641-bca395a6ee39' ,Food Premisis
8,Bothwell Optimist Club,252 Oak St E  Bothwell ON N0P 1C0,Mobile Food Premises,28-Jun-2018,location.href = '/Facility/Details/d25bb217-cd9b-4010-ac38-eacdcfd31d75' ,Food Premisis
9,Bothwell Pharmacy,231 Main St  Bothwell ON N0P 1C0,Food Store/Food Sales (Convenience/Variety),30-Nov-2023,location.href = '/Facility/Details/99975d3f-dd58-4d2a-94df-546833aa2836' ,Food Premisis
10,Bothwell Seniors Centre,320 Main Street N  Bothwell ON,Banquet Facility/Public Hall,06-Dec-2023,location.href = '/Facility/Details/24d3d711-f0c0-47cc-be44-db28abbd42a3' ,Food Premisis
11,Bowl of Cream - mobile ice cream trailer,64 London Dr  Chatham ON N7L 5J1,Mobile Food Premises,27-Jun-2023,location.href = '/Facility/Details/58104586-7657-4283-9306-9ce300bad365' ,Food Premisis
12,Bowl of Cream- Production Facility - Home kitchen used for production for mobile premises,64 London Drive  Chatham ON N7L 5J1,Commercial Kitchen/Commissary,27-Jun-2023,location.href = '/Facility/Details/c9090ef7-2d8f-4d3c-a877-dd405822df5c' ,Food Premisis
13,Bowlerama,100 Keil Dr S  Chatham ON N7M 3H1,Restaurant,15-Feb-2024,location.href = '/Facility/Details/cc321960-0493-4981-bfda-441cef73851d' ,Food Premisis
14,Brit Boys Fish N Chips,705 St. Clair Street  Chatham ON N7M 5J1,Mobile Food Premises,09-Jun-2023,location.href = '/Facility/Details/39177d3a-d04f-48ce-a069-b026326beba3' ,Food Premisis
15,Brittany's Hair Exprezzionz,494 St. George St.  Dresden ON N0P 2M0,Prepackaged/Non-Hazardous Food Sales,28-Feb-2024,location.href = '/Facility/Details/81b6b3cd-f953-40b1-82fa-e5fca7600d94' ,Food Premisis
16,Bucking Horse Cafe,73 McNaughton Ave  Wallaceburg ON,Mobile Food Premises,25-Jul-2023,location.href = '/Facility/Details/fd2d2b85-1282-4687-bf09-d09d7d9aa7d3' ,Food Premisis
17,Buis Beef,7792 Seventh Line  Chatham ON N7M 5J6,Food Store/Food Sales (Convenience/Variety),07-Dec-2022,location.href = '/Facility/Details/95c4ff06-2bb4-45cf-92b1-7f7a655360d8' ,Food Premisis
18,Bulk Barn,408 St. Clair St  Chatham ON N7L 3K5,Bulk Food,29-Feb-2024,location.href = '/Facility/Details/6c03effe-1cf7-4108-9bf0-29441958bf71' ,Food Premisis
19,Burger King,766 St Clair Street  Chatham ON N7M 5J7,Restaurant,22-Mar-2024,location.href = '/Facility/Details/a112598c-d2d2-42fd-960e-4129f1e11fcf' ,Food Premisis
20,Burger King,Highway 401 Eastbound  Tilbury ON N0P 2L0,Restaurant,20-Nov-2023,location.href = '/Facility/Details/137b74e9-8ed6-427b-85c7-af966c5bf255' ,Food Premisis
21,Burger King,Highway 401 Westbound W  Tilbury ON N0P 2L0,Restaurant,04-Aug-2023,location.href = '/Facility/Details/f6dc6af7-db2d-4dd0-ace8-e90b6b57dbaf' ,Food Premisis
22,Burger King,1085 Richmond St  Chatham ON N7M 5J5,Restaurant,27-Feb-2024,location.href = '/Facility/Details/bde2ef71-de1f-4190-9b88-fe0605d2966c' ,Food Premisis
23,Burn's Family Restaurant,265 St George St N  Dresden ON N0P 1M0,Restaurant,29-Nov-2023,location.href = '/Facility/Details/8c7edfae-310a-4333-80e3-2e01137e46b5' ,Food Premisis
24,Burrito Guyz,5-380 Queen St  Chatham ON N7M 2H6,Restaurant,20-Feb-2024,location.href = '/Facility/Details/f05a9589-0939-4199-931f-59b526d600e4' ,Food Premisis
0,Butterfly Bakery,129 Primrose Ln  Chatham ON N7L 4N7,Bakery,25-Oct-2023,location.href = '/Facility/Details/8986ef33-5b53-44ba-9350-9550db064d65' ,Food Premisis
1,"Cafe 78 - Cafe located inside St. Clair College, also owned by the student Inc.",1001 Grand Ave. W  Chatham ON N7M 5W4,Restaurant,09-Apr-2024,location.href = '/Facility/Details/80bc486a-8f11-4d1a-8fe0-a5d104c99b29' ,Food Premisis
2,Cajun Pepper 2 Restaurant,11-455 Grand Ave  Chatham ON N7L 2X1,Restaurant,07-Nov-2023,location.href = '/Facility/Details/0ebf50a8-02ca-435c-b906-9ee470887793' ,Food Premisis
3,Campbell AME Church,104 King Street E  Chatham ON N7M 3N2,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,22-Nov-2023,location.href = '/Facility/Details/371b8dde-49fc-436f-932c-fd584cba4fdc' ,Food Premisis
4,Campers Cove Family Campground,21097 Campers Cove Road  Wheatley ON N0P 2P0,Restaurant,20-Jun-2023,location.href = '/Facility/Details/cc34bc74-51da-41bb-b5fa-c004f8f3efe4' ,Food Premisis
5,Canadian Tire,575 Grand Avenue West  Chatham ON N7M 1C5,Food Store/Food Sales (Convenience/Variety),14-Mar-2024,location.href = '/Facility/Details/2a2db647-9e33-4b8e-b31c-d30359046994' ,Food Premisis
6,Canadian Tire Gas Plus,59 Hwy 401 Westbound W  Tilbury ON N0P 2L0,Food Store/Food Sales (Convenience/Variety),31-Jul-2023,location.href = '/Facility/Details/5acd2fb5-e52c-47b7-856a-efa49950de71' ,Food Premisis
7,Canadian Tire Gas Plus,62 Hwy 401 Eastbound E  Tilbury ON N0P 2L0,Food Store/Food Sales (Convenience/Variety),31-Jul-2023,location.href = '/Facility/Details/23489b56-b89e-405b-ac6f-8b1532f2c67d' ,Food Premisis
8,Canadian Tire Gas Plus,76 Keil Dr S  Chatham ON N7M 3H1,Food Store/Food Sales (Convenience/Variety),15-Mar-2024,location.href = '/Facility/Details/e5e88425-c749-4017-9900-8e4008015f51' ,Food Premisis
9,Candy by Kristin,4045 Dufferin Avenue  Wallaceburg ON N8A 4M9,Prepackaged/Non-Hazardous Food Sales,18-Dec-2023,location.href = '/Facility/Details/f159461b-0692-44da-a796-6ef2e548a895' ,Food Premisis
10,Canteen of Canada - Chatham,6-71 Sass Rd  Chatham ON N7M 5J4,Food Depot/wholesale,29-Nov-2023,location.href = '/Facility/Details/665d8d8a-a28d-4744-9fe9-1d3616a3e094' ,Food Premisis
11,Caps Hot Sauces,90 Victoria Ave  Ridgetown ON N0P 2C0,Food Take Out,28-Mar-2024,location.href = '/Facility/Details/99ed6f17-d3ef-4f75-a0e8-c04907ab4af3' ,Food Premisis
12,"Car Barn, The",23 Talbot Street E  Wheatley ON N0P 2P0,Mobile Food Premises,01-Jun-2023,location.href = '/Facility/Details/6f47e789-eb01-4d91-bc33-d393aa59aeee' ,Food Premisis
13,Casa Bella on the Thames,425 Riverview Drive S  Chatham ON N7M 5J5,Restaurant,11-Jan-2024,location.href = '/Facility/Details/e5411125-183f-4cf8-a535-1bc7362b78d7' ,Food Premisis
14,Cascades Casinos Chatham,615 Richmond St  Chatham Ontario N7M 1R2,Restaurant,29-Nov-2023,location.href = '/Facility/Details/fe0ba58a-5c55-4cfc-ba5c-41f889698ab0' ,Food Premisis
15,Cavanagh Reception Hall,416 Nelson St  Wallaceburg ON N8A 4G9,Banquet Facility/Public Hall,11-Dec-2019,location.href = '/Facility/Details/b986dbac-5536-4f14-b344-e00c6d196478' ,Food Premisis
16,CBD Club Inc.,1342 Dufferin Avenue  Wallaceburg ON N8A 2W5,Banquet Facility/Public Hall,24-Nov-2023,location.href = '/Facility/Details/572164e4-bb19-4237-895c-91962f3049f5' ,Food Premisis
17,Cellar Door Wines,4 Talbot Road WE  Wheatley ON N0P 2P0,Brew Your Own Beer/Wine,11-May-2023,location.href = '/Facility/Details/1d3d8479-7966-4a0e-86cc-15d4dc383bd1' ,Food Premisis
18,Central Tavern,24121 Winter Line Rd  Pain Court ON N0P 1Z0,Restaurant,02-Feb-2024,location.href = '/Facility/Details/11f132e0-c3b6-4e36-9254-f7bb03bc8e65' ,Food Premisis
19,Centro,71 St. Clair St.  Chatham ON N7L 3H8,Restaurant,23-Nov-2023,location.href = '/Facility/Details/2b0aafe4-a050-436a-9d87-3391395d68a3' ,Food Premisis
20,Charcouts Event Catering,78 Peachtree Lane  Chatham N7L 0B3,Food Caterer,29-Sep-2023,location.href = '/Facility/Details/5b5146f9-b55c-459f-a725-a2ad68a69612' ,Food Premisis
21,Charlie's Café,45 Talbot Street W  Blenheim ON N0P 1A0,Restaurant,30-Jan-2024,location.href = '/Facility/Details/b651d177-847a-4635-9423-59673502ceb1' ,Food Premisis
22,Charlie's Variety,1-75 Keil Drive S  Chatham ON N7M 3G9,Food Store/Food Sales (Convenience/Variety),26-Feb-2024,location.href = '/Facility/Details/9b6a5a19-b7f1-4a5c-9414-d97d94962366' ,Food Premisis
23,Charlie's Variety Store,310 Park Avenue East  Chatham ON N7M 3V9,Food Store/Food Sales (Convenience/Variety),05-Feb-2024,location.href = '/Facility/Details/2dc8ac7d-b0f6-4c78-b6e9-75fbef22a1f6' ,Food Premisis
24,Chatham Banquet and Conference Centre,280 Merritt Ave  Chatham ON N7M 3J1,Banquet Facility/Public Hall,31-May-2019,location.href = '/Facility/Details/91782397-eccc-443a-b8fe-330640779579' ,Food Premisis
0,Chatham Burgers,215 Grand Avenue W  Chatham ON N7L 1C3,Restaurant,14-Mar-2024,location.href = '/Facility/Details/9448d646-4d59-43fa-a43a-d11b17d57f39' ,Food Premisis
1,Chatham Capitol Theatre,238 King St W  Chatham ON N7M 1E7,Cocktail Bar/Beverage Room,19-Aug-2020,location.href = '/Facility/Details/fc4db9ed-208c-4846-ac75-a41fde704791' ,Food Premisis
2,Chatham Christian School,475 Keil Dr S  Chatham ON,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,04-Apr-2024,location.href = '/Facility/Details/fbb6a4c4-efcc-4be4-810d-43cf4f23d234' ,Food Premisis
3,Chatham Cultural Centre,75 William St N  Chatham ON N7M 4L4,Banquet Facility/Public Hall,06-Dec-2023,location.href = '/Facility/Details/437e043b-d8b0-43ea-bc8a-12b3405212fd' ,Food Premisis
4,Chatham Granite Club,41 William St N  Chatham ON N7M 5K8,Banquet Facility/Public Hall,26-Mar-2024,location.href = '/Facility/Details/7d419514-a13d-4a77-8070-7fa5ca9f9fef' ,Food Premisis
5,Chatham Outreach for Hunger,10 Wellington Street W  Chatham ON N7M 1H8,Food Bank/Donated Food,25-Mar-2024,location.href = '/Facility/Details/6496a3ff-79bc-4d0d-8f35-35b63126fa56' ,Food Premisis
6,Chatham Retirement Resort - Food,25 Keil Dr N  Chatham ON N7L 5J9,LTC Retirement Home - Food,11-Dec-2023,location.href = '/Facility/Details/4cf8079c-d53a-45aa-8abe-78fa19e29b0d' ,Food Premisis
7,Chatham Shawarma,214 King Street West  Chatham Ontario N7M 1E5,Restaurant,25-Mar-2024,location.href = '/Facility/Details/b628e70e-3490-4698-99aa-e105b6276b79' ,Food Premisis
8,Chatham-Kent Community Health Centres,150 Richmond Street  Chatham ON N7M 1N9,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,24-Jan-2024,location.href = '/Facility/Details/a196720c-d0f6-44a3-bbca-57a791d0a30a' ,Food Premisis
9,Chatham-Kent Community Health Centres,808 Dufferin Ave  Wallaceburg ON N8A 2V4,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,23-Jan-2024,location.href = '/Facility/Details/c7e30a58-38b6-42f2-a3b6-5577e80beed3' ,Food Premisis
10,Chatham-Kent Health Alliance,80 Grand Ave W  Chatham ON N7L 1A7,Hospital - Food,20-Dec-2023,location.href = '/Facility/Details/8d26f3da-f68e-4fb0-b575-939f0442d54f' ,Food Premisis
11,Chatham-Kent Hospice,99 Park  Chatham ON N7M 3R5,Hospice - Food,17-Apr-2024,location.href = '/Facility/Details/1cee3a12-d221-4edc-8c1b-d9539fe30427' ,Food Premisis
12,Chatham-Kent Secondary School,285 McNaughton Ave  Chatham ON N7L 2G7,Cafeteria,05-Oct-2023,location.href = '/Facility/Details/7c4e2c15-1bea-4641-85cf-6d5da77fd74e' ,Food Premisis
13,Chelyn’s Family Diner,750 James Street  Wallaceburg Ontario N8A 2P5,Restaurant,14-Feb-2023,location.href = '/Facility/Details/cc604406-f1be-4cfa-8f8d-645b178b684f' ,Food Premisis
14,Children's Village Day Care - Food,58 Dover Street  Chatham ON N7L 1S8,Child Care - Food,08-Apr-2024,location.href = '/Facility/Details/c5ece0ae-3748-42dd-86cf-a3f42c1b659c' ,Food Premisis
15,Chilled Cork Food Emporium and Wine Bar,22 William Street S  Chatham ON N7M 4S1,Restaurant,28-Mar-2024,location.href = '/Facility/Details/217e1a6b-7f6e-44ae-9a13-ba1dbeafe932' ,Food Premisis
16,Chilled Cork Food Truck,22 William Street S  Chatham ON N7M 4S1,Mobile Food Premises,22-Jul-2023,location.href = '/Facility/Details/81ac3a03-433e-42bb-bfb3-6d434e199884' ,Food Premisis
17,China House Restaurant,1540 Dufferin Avenue  Wallaceburg ON N8A 4N8,Restaurant,24-Nov-2023,location.href = '/Facility/Details/08b7f25d-ca03-4e03-ab5d-aaf9180d8707' ,Food Premisis
18,Chris Pidgeon,33 Crerar Dr  Chatham ON N7L 2P6,Bakery,20-Feb-2024,location.href = '/Facility/Details/25eb81a3-d8ce-4aa3-a13d-2463830b45f3' ,Food Premisis
19,Christ Church,80 Wellington St W  Chatham ON N7M 1J1,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,25-Mar-2024,location.href = '/Facility/Details/903bbae4-b9fc-4565-88e4-fdf47292ee65' ,Food Premisis
20,Christ Church Anglican,350 George Street  Dresden ON N0P 1M0,Hunger Relief Agency/Soup Kitchen/Meal Centre/Food Kitchen,17-Apr-2024,location.href = '/Facility/Details/7e537f2b-dcbf-4e9e-ad59-de69ecfbfb56' ,Food Premisis
21,Christ The King Catholic School,227 Thomas Ave  Wallaceburg ON N8A 2B9,School Nourishment Program,24-Apr-2019,location.href = '/Facility/Details/cb1be428-048d-43e7-9065-22d1b7bebe99' ,Food Premisis
22,Chuck's Roadhouse,65 McNaughton Avenue  Wallaceburg ON N8A 1R7,Restaurant,06-Feb-2024,location.href = '/Facility/Details/bc3bf4c0-3eb0-48c8-98d8-1747dd42b792' ,Food Premisis
23,Chuck's Roadhouse,395 Grand Avenue W  Chatham ON N7L 1C4,Restaurant,10-Apr-2024,location.href = '/Facility/Details/e9e2d48e-3f4c-46ea-ae3d-562d9a1cffc3' ,Food Premisis
24,Church of The Advent Hall,16 Church Street  Ridgetown ON N0P 2C0,Banquet Facility/Public Hall,02-Apr-2024,location.href = '/Facility/Details/32dfa632-5c90-4bea-80c6-18d8096e9296' ,Food Premisis
0,Churrascaria Steakhouse,525 Grand Avenue  Chatham ON N7L 3Z2,Restaurant,25-Oct-2023,location.href = '/Facility/Details/6b98fef0-85fc-40ac-ab2a-648e6bbef371' ,Food Premisis
1,Circle K,170 McNaughton Ave W  Chatham ON N7L 1R4,Food Store/Food Sales (Convenience/Variety),12-Mar-2024,location.href = '/Facility/Details/a3671a38-2603-4415-ba2f-a4ae49c39331' ,Food Premisis
2,Circle K,90 Queen St N  Tilbury ON N0P 2L0,Food Store/Food Sales (Convenience/Variety),17-Nov-2023,location.href = '/Facility/Details/74c5680e-ddae-4cfe-89cf-9d21131b2c2a' ,Food Premisis
3,Circle K,10 Erie Street S  Ridgetown ON N0P 2C0,Food Store/Food Sales (Convenience/Variety),11-Jan-2024,location.href = '/Facility/Details/02dbe98c-7686-4ec9-863a-9acd5f0124cd' ,Food Premisis
